	name	link	min_salary	max_salary	valut_salary	site_from
19	Аналитик в отдел планирования (SQL, Python/R)	https://russia.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html				https://russia.superjob.ru
20	QA-автоматизатор (python)	https://russia.superjob.ru/vakansii/qa-avtomatizator-39705235.html				https://russia.superjob.ru
21	Преподаватель программирования на языке Python, преподаватель кибергигиены, мобильной разработки	https://russia.superjob.ru/vakansii/prepodavatel-programmirovaniya-na-yazyke-python-39552087.html				https://russia.superjob.ru
22	Python Backend Developer / WEB-разработчик	https://russia.superjob.ru/vakansii/python-backend-developer-39595398.html	185000.0	185000.0	руб.	https://russia.superjob.ru
23	Программист Python	https://russia.superjob.ru/vakansii/programmist-python-39759582.html				https://russia.superjob.ru
24	Senior python developer / Teamlead (Odoo)	https://russia.superjob.ru/vakansii/senior-python-developer-39529912.html	180000.0	180000.0	руб.	https://russia.superjob.ru
25	Python developer	https://russia.superjob.ru/vakansii/python-developer-39937020.html	120000.0	140000.0	руб.	https://russia.superjob.ru
26	Программист Python, Bakend Developer Python	https://russia.superjob.ru/vakansii/programmist-python-39857069.html	30000.0	30000.0	руб.	https://russia.superjob.ru
27	Python Django fullstack разработчик	https://russia.superjob.ru/vakansii/python-django-fullstack-razrabotchik-39274896.html	200000.0	200000.0	руб.	https://russia.superjob.ru
28	Junior Python	https://russia.superjob.ru/vakansii/junior-python-39359235.html	25000.0	30000.0	руб.	https://russia.superjob.ru
29	Старший разработчик Python	https://russia.superjob.ru/vakansii/starshij-razrabotchik-python-39531755.html	240000.0	300000.0	руб.	https://russia.superjob.ru
30	Разработчик Python + DS ML	https://russia.superjob.ru/vakansii/razrabotchik-python-39527128.html	250000.0	250000.0	руб.	https://russia.superjob.ru
31	Python backend developer	https://russia.superjob.ru/vakansii/python-backend-developer-39814546.html	80000.0	100000.0	руб.	https://russia.superjob.ru
32	Python Developer	https://russia.superjob.ru/vakansii/python-developer-39812948.html	350000.0	350000.0	руб.	https://russia.superjob.ru
33	Python-разработчик в команду разработки Общих сервисов ядра облака	https://russia.superjob.ru/vakansii/python-razrabotchik-v-komandu-razrabotki-obschih-servisov-yadra-oblaka-39579550.html	180000.0	210000.0	руб.	https://russia.superjob.ru
34	Python backend-разработчик	https://russia.superjob.ru/vakansii/python-backend-razrabotchik-39781914.html				https://russia.superjob.ru
35	Python Developer (научим Big Data)	https://russia.superjob.ru/vakansii/python-developer-39757648.html				https://russia.superjob.ru
36	Python developer junior	https://russia.superjob.ru/vakansii/python-developer-junior-39564986.html				https://russia.superjob.ru
37	Бэкенд-разработчик (Python, удаленная работа)	https://russia.superjob.ru/vakansii/bekend-razrabotchik-39565873.html	220000.0	220000.0	руб.	https://russia.superjob.ru
38	Middle Python Developer	https://russia.superjob.ru/vakansii/middle-python-developer-39564634.html	130000.0	160000.0	руб.	https://russia.superjob.ru
39	Аналитик в отдел планирования (SQL, Python/R)	https://russia.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html				https://russia.superjob.ru
40	QA-автоматизатор (python)	https://russia.superjob.ru/vakansii/qa-avtomatizator-39705235.html				https://russia.superjob.ru
41	Преподаватель программирования на языке Python, преподаватель кибергигиены, мобильной разработки	https://russia.superjob.ru/vakansii/prepodavatel-programmirovaniya-na-yazyke-python-39552087.html				https://russia.superjob.ru
42	Python Backend Developer / WEB-разработчик	https://russia.superjob.ru/vakansii/python-backend-developer-39595398.html	185000.0	185000.0	руб.	https://russia.superjob.ru
43	Программист Python	https://russia.superjob.ru/vakansii/programmist-python-39759582.html				https://russia.superjob.ru
44	Senior python developer / Teamlead (Odoo)	https://russia.superjob.ru/vakansii/senior-python-developer-39529912.html	180000.0	180000.0	руб.	https://russia.superjob.ru
45	Python developer	https://russia.superjob.ru/vakansii/python-developer-39937020.html	120000.0	140000.0	руб.	https://russia.superjob.ru
46	Программист Python, Bakend Developer Python	https://russia.superjob.ru/vakansii/programmist-python-39857069.html	30000.0	30000.0	руб.	https://russia.superjob.ru
47	Python Django fullstack разработчик	https://russia.superjob.ru/vakansii/python-django-fullstack-razrabotchik-39274896.html	200000.0	200000.0	руб.	https://russia.superjob.ru
48	Junior Python	https://russia.superjob.ru/vakansii/junior-python-39359235.html	25000.0	30000.0	руб.	https://russia.superjob.ru
49	Старший разработчик Python	https://russia.superjob.ru/vakansii/starshij-razrabotchik-python-39531755.html	240000.0	300000.0	руб.	https://russia.superjob.ru
50	Разработчик Python + DS ML	https://russia.superjob.ru/vakansii/razrabotchik-python-39527128.html	250000.0	250000.0	руб.	https://russia.superjob.ru
51	Python backend developer	https://russia.superjob.ru/vakansii/python-backend-developer-39814546.html	80000.0	100000.0	руб.	https://russia.superjob.ru
52	Python Developer	https://russia.superjob.ru/vakansii/python-developer-39812948.html	350000.0	350000.0	руб.	https://russia.superjob.ru
